DATE,NIFTY_500_CLOSE,52W_HIGH,52W_LOW,PCT_HIGH,ABOVE_200SMA,PCT_ABOVE_200SMA
2006-06-08,2248.797119140625,7,93,3.1,23,10.1
2006-06-09,2376.296875,7,41,3.1,50,22.0
2006-06-12,2310.797119140625,7,12,3.1,42,18.5
2006-06-13,2201.39697265625,7,40,3.1,22,9.7
2006-06-14,2163.947021484375,7,38,3.1,15,6.6
2006-06-15,2299.2470703125,7,11,3.1,31,13.7
2006-06-16,2386.246826171875,7,6,3.1,47,20.7
2006-06-19,2418.69677734375,7,6,3.1,56,24.7
2006-06-20,2388.846923828125,7,6,3.1,54,23.7
2006-06-21,2442.94677734375,7,6,3.1,62,27.2
2006-06-22,2503.496826171875,7,6,3.1,74,32.5
2006-06-23,2529.446533203125,7,7,3.1,73,32.0
2006-06-26,2441.19677734375,7,6,3.1,58,25.4
2006-06-27,2456.646728515625,7,8,3.1,62,27.2
2006-06-28,2452.846923828125,7,8,3.1,60,26.3
2006-06-29,2463.246826171875,7,7,3.1,61,26.8
2006-06-30,2562.49658203125,7,6,3.1,77,33.8
2006-07-03,2577.196533203125,7,8,3.1,78,34.2
2006-07-04,2574.0966796875,7,7,3.1,76,33.3
2006-07-05,2616.8466796875,7,6,3.1,78,34.2
2006-07-06,2591.796630859375,7,6,3.1,80,35.1
2006-07-07,2534.24658203125,7,6,3.1,73,32.0
2006-07-10,2573.896484375,7,6,3.1,81,35.5
2006-07-11,2559.8466796875,7,7,3.1,78,34.2
2006-07-12,2606.896484375,7,9,3.1,83,36.4
2006-07-13,2590.696533203125,9,6,3.9,85,37.3
2006-07-14,2560.146484375,7,7,3.1,75,32.9
2006-07-17,2471.346923828125,7,8,3.1,64,28.1
2006-07-18,2449.996826171875,7,12,3.1,65,28.5
2006-07-19,2392.396728515625,7,15,3.1,52,22.8
2006-07-20,2455.646728515625,7,8,3.1,62,27.2
2006-07-21,2391.846923828125,7,11,3.1,53,23.2
2006-07-24,2410.69677734375,7,17,3.1,51,22.4
2006-07-25,2462.296875,7,9,3.1,64,28.1
2006-07-26,2516.396484375,7,8,3.1,73,32.0
2006-07-27,2549.24658203125,7,7,3.1,77,33.8
2006-07-28,2545.5966796875,7,7,3.1,80,34.9
2006-07-31,2562.546630859375,7,7,3.1,85,37.1
2006-08-01,2559.646484375,7,6,3.1,84,36.7
2006-08-02,2592.696533203125,8,6,3.5,92,40.2
2006-08-03,2601.196533203125,8,7,3.5,91,39.6
2006-08-04,2588.3466796875,8,7,3.5,89,38.7
2006-08-07,2576.49658203125,8,7,3.5,91,39.6
2006-08-08,2620.3466796875,8,6,3.5,100,43.5
2006-08-09,2656.24658203125,7,7,3.0,109,47.4
2006-08-10,2674.0966796875,9,6,3.9,113,49.1
2006-08-11,2692.646484375,7,6,3.0,125,54.3
2006-08-14,2730.096435546875,7,6,3.0,130,56.5
2006-08-16,2768.246337890625,10,6,4.3,132,57.4
2006-08-17,2760.246337890625,9,6,3.9,130,56.5
2006-08-18,2767.396240234375,8,6,3.5,126,54.8
2006-08-21,2779.846435546875,8,6,3.5,130,56.3
2006-08-22,2775.746337890625,8,6,3.5,133,57.6
2006-08-23,2750.4462890625,8,7,3.5,130,56.3
2006-08-24,2776.04638671875,9,6,3.9,128,55.4
2006-08-25,2793.6962890625,8,6,3.5,132,57.1
2006-08-28,2806.846435546875,8,6,3.4,134,57.8
2006-08-29,2826.4462890625,10,6,4.3,134,57.8
2006-08-30,2825.896240234375,9,7,3.9,132,56.9
2006-08-31,2807.9462890625,8,6,3.4,127,54.7
2006-09-01,2828.29638671875,7,6,3.0,134,57.8
2006-09-04,2865.9462890625,11,7,4.7,138,59.5
2006-09-05,2871.896240234375,9,6,3.9,144,62.1
2006-09-06,2882.846435546875,8,6,3.4,146,62.9
2006-09-07,2866.29638671875,10,6,4.3,148,63.8
2006-09-08,2884.29638671875,10,6,4.3,153,65.9
2006-09-11,2794.79638671875,10,7,4.3,135,58.2
2006-09-12,2820.4462890625,9,7,3.9,140,60.3
2006-09-13,2878.096435546875,12,6,5.2,150,64.7
2006-09-14,2894.74609375,11,6,4.7,149,64.2
2006-09-15,2898.89599609375,8,7,3.4,149,64.2
2006-09-18,2911.59619140625,13,6,5.6,150,64.7
2006-09-19,2878.896240234375,11,6,4.7,143,61.6
